plot_id,latitude,longitude,district,elevation_m_observed,observed_status,cultivar,planting_year,notes,labelled_by,label_date
# SYNTHETIC STRATIFIED SET — carries NO agronomic meaning; do NOT use to claim accuracy (docs/phase-0/ground-truth-plan.md §5).
# Built to exercise the Phase 3 validation harness end-to-end: spans S1/S2/S3/N expectations, ~150-2250 m, all pilot districts + a few extended-region lowland sites, plus frost-pocket candidates and a handful of deliberate model/observation mismatches.
# observed_status must be one of: thriving | struggling | failed
GUL-001,28.0700,83.8900,Gulmi,1320,thriving,Bourbon,2015,SYNTHETIC - mid-altitude optimal shaded slope,A.Agronomist,2026-05-29
GUL-002,28.0800,83.8500,Gulmi,1180,thriving,Typica,2014,SYNTHETIC - optimal band well-managed,A.Agronomist,2026-05-29
GUL-003,28.1000,83.8200,Gulmi,1450,thriving,Bourbon,2016,SYNTHETIC - upper optimal band,A.Agronomist,2026-05-29
GUL-004,28.0600,83.9100,Gulmi,1550,thriving,Caturra,2015,SYNTHETIC - good upper band south aspect,A.Agronomist,2026-05-29
GUL-005,28.1200,83.7800,Gulmi,1680,struggling,Typica,2017,SYNTHETIC - cooling marginal upper band,A.Agronomist,2026-05-29
GUL-006,28.1400,83.7500,Gulmi,1820,struggling,Catimor,2018,SYNTHETIC - marginal high cool site,A.Agronomist,2026-05-29
GUL-007,28.1500,83.7200,Gulmi,1950,failed,Typica,2017,SYNTHETIC - above viable altitude,A.Agronomist,2026-05-29
GUL-008,28.0400,83.9500,Gulmi,720,struggling,Bourbon,2019,SYNTHETIC - low marginal warm band,A.Agronomist,2026-05-29
GUL-009,28.0200,83.9800,Gulmi,640,struggling,Catimor,2018,SYNTHETIC - low marginal near hot edge,A.Agronomist,2026-05-29
GUL-010,28.1600,83.7000,Gulmi,2150,failed,Typica,2016,SYNTHETIC - high ridge unsuitable,A.Agronomist,2026-05-29
GUL-011,28.0500,83.8800,Gulmi,1100,failed,Bourbon,2017,SYNTHETIC - flat valley floor frost-prone cold-air pooling,A.Agronomist,2026-05-29
GUL-012,28.0900,83.8300,Gulmi,1250,struggling,Caturra,2016,SYNTHETIC - optimal terrain but neglected/poor management,A.Agronomist,2026-05-29
GUL-013,28.1100,83.8000,Gulmi,1490,thriving,Bourbon,2014,SYNTHETIC - optimal mid slope,A.Agronomist,2026-05-29
SYA-001,27.9500,83.7600,Syangja,1580,thriving,Typica,2014,SYNTHETIC - good upper band,A.Agronomist,2026-05-29
